gt,exp,err
-5.75,-5.633522606605991,0.11647739339400864
-5.88,-5.665422326036294,0.21457767396370553
-5.93,-5.674484335302645,0.25551566469735487
-6.0,-5.69489133361841,0.3051086663815896
-6.07,-5.710648253984679,0.3593517460153217
-6.13,-5.812385158305641,0.3176148416943585
-6.25,-6.106384631957858,0.14361536804214214
-6.38,-6.1451481390199305,0.23485186098006938
-6.43,-6.162346132155837,0.2676538678441629
-6.5,-6.186314781903812,0.31368521809618777
-6.57,-6.513740335205934,0.056259664794065856
-6.63,-6.534928353140805,0.09507164685919456
-6.75,-6.748121230013242,0.0018787699867583996
-6.88,-6.798697720715845,0.0813022792841549
-6.93,-6.816014337702992,0.1139856622970079
-7.0,-6.928937347950366,0.07106265204963425
-7.07,-7.286333573017092,-0.2163335730170921
-7.13,-7.307654907248383,-0.1776549072483835
-7.25,-7.355209769859331,-0.10520976985933128
-7.38,-7.698798406067954,-0.3187984060679545
-7.43,-7.712135079466423,-0.282135079466423
-7.5,-7.738831992723399,-0.23883199272339883
-7.57,-7.761107364155757,-0.1911073641557568
-7.63,-7.781768946380563,-0.15176894638056293
