freq(GHz),Ground truth,Naive-MLP prediction,FF-MLP prediction
30.78,0.9569,0.9437,0.9554
30.8,0.9561,0.943,0.9546
30.82,0.9552,0.9423,0.9537
30.84,0.9543,0.9404,0.9528
30.86,0.9533,0.9405,0.9519
30.88,0.9522,0.9388,0.9509
30.9,0.9511,0.9385,0.9498
30.92,0.95,0.9369,0.9487
30.94,0.9487,0.9357,0.9476
30.96,0.9475,0.9352,0.9464
30.98,0.9462,0.9333,0.9452
31.0,0.9448,0.9315,0.9439
31.02,0.9434,0.9311,0.9426
31.04,0.9419,0.9294,0.9412
31.06,0.9404,0.9283,0.9399
31.08,0.9389,0.9264,0.9384
31.1,0.9373,0.9263,0.937
31.12,0.9357,0.9248,0.9355
31.14,0.934,0.9213,0.934
31.16,0.9324,0.9213,0.9325
31.18,0.9306,0.9207,0.9309
31.2,0.9289,0.9184,0.9293
31.22,0.9271,0.9172,0.9277
31.24,0.9253,0.9155,0.9261
31.26,0.9235,0.913,0.9244
31.28,0.9217,0.9129,0.9227
31.3,0.9199,0.9099,0.921
31.32,0.918,0.9094,0.9193
31.34,0.9161,0.9078,0.9176
31.36,0.9142,0.9057,0.9158
31.38,0.9123,0.9058,0.914
31.4,0.9104,0.9028,0.9122
31.42,0.9085,0.9012,0.9104
31.44,0.9066,0.9004,0.9085
31.46,0.9047,0.8982,0.9066
31.48,0.9028,0.8966,0.9047
31.5,0.9009,0.8954,0.9028
31.52,0.899,0.8931,0.9009
31.54,0.8971,0.8921,0.899
31.56,0.8952,0.8908,0.8972
31.58,0.8933,0.8887,0.8954
31.6,0.8914,0.8882,0.8936
31.62,0.8896,0.8856,0.8919
31.64,0.8878,0.8842,0.8903
31.66,0.8859,0.883,0.8887
31.68,0.8841,0.8817,0.8872
31.7,0.8824,0.8796,0.8856
31.72,0.8806,0.8783,0.8841
31.74,0.8789,0.878,0.8826
31.76,0.8772,0.8762,0.881
31.78,0.8755,0.8746,0.8796
31.8,0.8739,0.8735,0.878
31.82,0.8722,0.8716,0.8765
31.84,0.8707,0.8697,0.875
31.86,0.8691,0.8689,0.8735
31.88,0.8676,0.867,0.8719
31.9,0.8661,0.8656,0.8704
31.92,0.8647,0.8651,0.8689
31.94,0.8632,0.8637,0.8675
31.96,0.8619,0.8632,0.8661
31.98,0.8605,0.8628,0.8649
32.0,0.8593,0.8614,0.8636
