f1_db,f2_db,f3_db,angle
0.59,2.09,4.29,8.6
0.37,1.92,4.24,8.65
0.15,1.74,4.0,8.7
0.07,1.56,3.75,8.75
0.29,1.38,3.51,8.8
0.52,1.19,3.26,8.85
0.75,1.0,3.01,8.9
0.97,0.81,2.76,8.95
1.21,0.62,2.51,9.0
1.44,0.42,2.25,9.05
1.68,0.22,1.99,9.1
1.92,0.01,1.73,9.15
2.17,0.19,1.47,9.2
2.42,0.41,1.21,9.25
2.67,0.63,0.94,9.3
2.93,0.85,0.67,9.35
3.2,1.08,0.39,9.4
3.1,1.32,0.12,9.45
2.83,1.56,0.16,9.5
2.55,1.81,0.45,9.55
2.28,2.06,0.74,9.6
2.01,2.32,1.03,9.65
1.75,2.59,1.32,9.7
1.48,2.5,1.62,9.75
1.22,2.27,1.93,9.8
0.96,2.05,2.24,9.85
0.7,1.82,2.56,9.9
0.44,1.6,2.88,9.95
0.19,1.37,3.21,10.0
0.07,1.15,3.55,10.05
0.33,0.93,3.89,10.1
0.58,0.7,4.24,10.15
0.84,0.48,4.34,10.2
1.09,0.26,4.06,10.25
1.35,0.03,3.77,10.3
1.6,0.19,3.48,10.35
1.86,0.41,3.19,10.4
2.11,0.64,2.89,10.45
2.37,0.86,2.6,10.5
2.63,1.09,2.3,10.55
2.88,1.31,2.0,10.6
3.14,1.54,1.7,10.65
3.4,1.77,1.4,10.7
3.67,1.99,1.09,10.75
3.93,2.22,0.78,10.8
4.19,2.45,0.47,10.85
4.46,2.69,0.15,10.9
4.73,2.92,0.17,10.95
5.0,3.15,0.49,11.0
5.27,3.39,0.82,11.05
5.54,3.63,1.15,11.1
5.82,3.87,1.49,11.15
6.09,4.11,1.83,11.2
6.37,4.36,2.18,11.25
6.66,4.61,2.53,11.3
6.94,4.86,2.89,11.35
7.23,5.11,3.26,11.4
7.51,5.36,3.64,11.45
